Font: Xiaolai  Style: Regular
Point Size: 33   SP/PD Ratio: 15.2%

Characters included: 42244/43124
Missing characters: 880
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 4447	Hex: 115F	Char [ᅟ]
ID: 8195	Hex: 2003	Char [ ]
ID: 11157	Hex: 2B95	Char [⮕]
ID: 12330	Hex: 302A	Char [〪]
ID: 12331	Hex: 302B	Char [〫]
ID: 12332	Hex: 302C	Char [〬]
ID: 12333	Hex: 302D	Char [〭]
ID: 12334	Hex: 302E	Char [〮]
ID: 12731	Hex: 31BB	Char [ㆻ]
ID: 49999	Hex: C34F	Char [썏]
ID: 61696	Hex: F100	Char []
ID: 61697	Hex: F101	Char []
ID: 61698	Hex: F102	Char []
ID: 61699	Hex: F103	Char []
ID: 61700	Hex: F104	Char []
ID: 61701	Hex: F105	Char []
ID: 61702	Hex: F106	Char []
ID: 61703	Hex: F107	Char []
ID: 61704	Hex: F108	Char []
ID: 61705	Hex: F109	Char []
ID: 61706	Hex: F10A	Char []
ID: 61707	Hex: F10B	Char []
ID: 61708	Hex: F10C	Char []
ID: 61712	Hex: F110	Char []
ID: 61713	Hex: F111	Char []
ID: 61714	Hex: F112	Char []
ID: 61715	Hex: F113	Char []
ID: 61716	Hex: F114	Char []
ID: 61717	Hex: F115	Char []
ID: 61718	Hex: F116	Char []
ID: 61719	Hex: F117	Char []
ID: 61720	Hex: F118	Char []
ID: 61721	Hex: F119	Char []
ID: 61722	Hex: F11A	Char []
ID: 61723	Hex: F11B	Char []
ID: 61724	Hex: F11C	Char []
ID: 61725	Hex: F11D	Char []
ID: 61726	Hex: F11E	Char []
ID: 61727	Hex: F11F	Char []
ID: 61728	Hex: F120	Char []
ID: 61729	Hex: F121	Char []
ID: 61730	Hex: F122	Char []
ID: 61731	Hex: F123	Char []
ID: 61732	Hex: F124	Char []
ID: 61733	Hex: F125	Char []
ID: 61734	Hex: F126	Char []
ID: 61735	Hex: F127	Char []
ID: 61736	Hex: F128	Char []
ID: 61737	Hex: F129	Char []
ID: 61738	Hex: F12A	Char []
ID: 61739	Hex: F12B	Char []
ID: 61740	Hex: F12C	Char []
ID: 61741	Hex: F12D	Char []
ID: 61742	Hex: F12E	Char []
ID: 61743	Hex: F12F	Char []
ID: 61744	Hex: F130	Char []
ID: 61745	Hex: F131	Char []
ID: 61746	Hex: F132	Char []
ID: 61747	Hex: F133	Char []
ID: 61748	Hex: F134	Char []
ID: 61749	Hex: F135	Char []
ID: 61750	Hex: F136	Char []
